model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,166,132.2,1.9,-16.37,0.48,0.17,326
dqn,TRAIN,167,132.5,2.0,-16.22,0.46,0.17,332
dqn,TRAIN,168,133.3,2.0,-17.08,0.48,0.17,326
dqn,TRAIN,169,132.1,2.0,-16.12,0.45,0.17,327
dqn,TRAIN,170,130.8,2.0,-14.65,0.42,0.17,328
dqn,TRAIN,171,134.1,2.0,-18.29,0.50,0.17,326
dqn,TRAIN,172,133.8,2.1,-16.51,0.46,0.17,329
dqn,TRAIN,173,132.0,2.2,-16.39,0.46,0.18,329
dqn,TRAIN,174,134.2,2.3,-18.32,0.52,0.17,329
dqn,TRAIN,175,136.2,2.4,-18.71,0.53,0.18,330
dqn,TRAIN,176,132.0,2.4,-15.76,0.45,0.18,328
dqn,TRAIN,177,132.1,2.3,-15.54,0.44,0.17,327
dqn,TRAIN,178,131.7,2.3,-14.35,0.41,0.17,330
dqn,TRAIN,179,133.1,2.3,-16.39,0.46,0.17,326
dqn,TRAIN,180,130.4,2.3,-16.79,0.46,0.17,325
dqn,TRAIN,181,131.9,2.2,-15.77,0.44,0.17,332
dqn,TRAIN,182,129.4,2.2,-15.11,0.43,0.17,329
dqn,TRAIN,183,131.0,2.1,-14.84,0.43,0.17,330
dqn,TRAIN,184,131.8,2.1,-17.34,0.49,0.17,329
dqn,TRAIN,185,130.0,2.1,-14.90,0.41,0.17,331
dqn,TRAIN,186,131.3,2.1,-15.70,0.44,0.17,329
dqn,TRAIN,187,132.1,2.0,-15.79,0.44,0.17,328
dqn,TRAIN,188,133.4,2.0,-16.96,0.48,0.17,328
dqn,TRAIN,189,133.6,1.9,-15.67,0.46,0.17,329
dqn,TRAIN,190,131.6,1.9,-14.39,0.42,0.17,326
dqn,TRAIN,191,132.2,1.9,-16.34,0.45,0.17,321
dqn,TRAIN,192,135.2,2.0,-18.95,0.54,0.18,328
dqn,TRAIN,193,132.9,2.0,-14.42,0.42,0.17,327
dqn,TRAIN,194,133.8,2.0,-16.43,0.47,0.18,327
dqn,TRAIN,195,129.1,2.0,-15.39,0.43,0.17,330
dqn,TRAIN,196,130.7,2.0,-14.42,0.42,0.17,330
dqn,TRAIN,197,130.5,2.0,-13.27,0.40,0.17,328
dqn,TRAIN,198,132.4,1.9,-15.44,0.46,0.17,329
dqn,TRAIN,199,134.3,2.0,-16.40,0.49,0.18,328
